family,param,value,n_rows,source,engine_version,numerics
invdesign,qi_p,3.29861,5,result_N100_TM_W961_C325_dsh25S66s3_ptw25W964to981_ptn25W640to620_Ybox8p0_Zbox8p8_scR80_arr57_X-14467to15269_Y1900to1900_C325_pair.mat (+4),2026R1.3-b4572,"y8.0/z8.8 box, 20nm/4001pts, dx50 conformal, ASL 1e-7"
invdesign,qi_lnA,-2.93227,5,result_N100_TM_W961_C325_dsh25S66s3_ptw25W964to981_ptn25W640to620_Ybox8p0_Zbox8p8_scR80_arr57_X-14467to15269_Y1900to1900_C325_pair.mat (+4),2026R1.3-b4572,"y8.0/z8.8 box, 20nm/4001pts, dx50 conformal, ASL 1e-7"
invdesign,qi_sat,341344,5,result_N100_TM_W961_C325_dsh25S66s3_ptw25W964to981_ptn25W640to620_Ybox8p0_Zbox8p8_scR80_arr57_X-14467to15269_Y1900to1900_C325_pair.mat (+4),2026R1.3-b4572,"y8.0/z8.8 box, 20nm/4001pts, dx50 conformal, ASL 1e-7"
invdesign,n_lo,100,5,result_N100_TM_W961_C325_dsh25S66s3_ptw25W964to981_ptn25W640to620_Ybox8p0_Zbox8p8_scR80_arr57_X-14467to15269_Y1900to1900_C325_pair.mat (+4),2026R1.3-b4572,"y8.0/z8.8 box, 20nm/4001pts, dx50 conformal, ASL 1e-7"
invdesign,n_hi,220,5,result_N100_TM_W961_C325_dsh25S66s3_ptw25W964to981_ptn25W640to620_Ybox8p0_Zbox8p8_scR80_arr57_X-14467to15269_Y1900to1900_C325_pair.mat (+4),2026R1.3-b4572,"y8.0/z8.8 box, 20nm/4001pts, dx50 conformal, ASL 1e-7"
invdesign,lam_nm,1560.87,5,result_N100_TM_W961_C325_dsh25S66s3_ptw25W964to981_ptn25W640to620_Ybox8p0_Zbox8p8_scR80_arr57_X-14467to15269_Y1900to1900_C325_pair.mat (+4),2026R1.3-b4572,"y8.0/z8.8 box, 20nm/4001pts, dx50 conformal, ASL 1e-7"
invdesign,w_Finf,19.9169,5,result_N100_TM_W961_C325_dsh25S66s3_ptw25W964to981_ptn25W640to620_Ybox8p0_Zbox8p8_scR80_arr57_X-14467to15269_Y1900to1900_C325_pair.mat (+4),2026R1.3-b4572,"y8.0/z8.8 box, 20nm/4001pts, dx50 conformal, ASL 1e-7"
invdesign,w_B,26.5778,5,result_N100_TM_W961_C325_dsh25S66s3_ptw25W964to981_ptn25W640to620_Ybox8p0_Zbox8p8_scR80_arr57_X-14467to15269_Y1900to1900_C325_pair.mat (+4),2026R1.3-b4572,"y8.0/z8.8 box, 20nm/4001pts, dx50 conformal, ASL 1e-7"
invdesign,w_c,0.0357313,5,result_N100_TM_W961_C325_dsh25S66s3_ptw25W964to981_ptn25W640to620_Ybox8p0_Zbox8p8_scR80_arr57_X-14467to15269_Y1900to1900_C325_pair.mat (+4),2026R1.3-b4572,"y8.0/z8.8 box, 20nm/4001pts, dx50 conformal, ASL 1e-7"
itai_tm,qc_rate,0.0312597,5,itai_hh_summary.csv (+4),2026R1.3-b4572,"y8.0/z8.8 box, 20nm/4001pts, dx50 conformal, ASL 1e-7"
itai_tm,qc_lnQ0,4.85877,5,itai_hh_summary.csv (+4),2026R1.3-b4572,"y8.0/z8.8 box, 20nm/4001pts, dx50 conformal, ASL 1e-7"
itai_tm,qi_p,4.38636,5,itai_hh_summary.csv (+4),2026R1.3-b4572,"y8.0/z8.8 box, 20nm/4001pts, dx50 conformal, ASL 1e-7"
itai_tm,qi_lnA,-6.80234,5,itai_hh_summary.csv (+4),2026R1.3-b4572,"y8.0/z8.8 box, 20nm/4001pts, dx50 conformal, ASL 1e-7"
itai_tm,qi_sat,125937,5,itai_hh_summary.csv (+4),2026R1.3-b4572,"y8.0/z8.8 box, 20nm/4001pts, dx50 conformal, ASL 1e-7"
itai_tm,n_lo,98,5,itai_hh_summary.csv (+4),2026R1.3-b4572,"y8.0/z8.8 box, 20nm/4001pts, dx50 conformal, ASL 1e-7"
itai_tm,n_hi,189,5,itai_hh_summary.csv (+4),2026R1.3-b4572,"y8.0/z8.8 box, 20nm/4001pts, dx50 conformal, ASL 1e-7"
itai_tm,lam_nm,nan,5,itai_hh_summary.csv (+4),2026R1.3-b4572,"y8.0/z8.8 box, 20nm/4001pts, dx50 conformal, ASL 1e-7"
itai_tm,w_Finf,20.3709,5,itai_hh_summary.csv (+4),2026R1.3-b4572,"y8.0/z8.8 box, 20nm/4001pts, dx50 conformal, ASL 1e-7"
itai_tm,w_B,5.73422,5,itai_hh_summary.csv (+4),2026R1.3-b4572,"y8.0/z8.8 box, 20nm/4001pts, dx50 conformal, ASL 1e-7"
itai_tm,w_c,0.0311141,5,itai_hh_summary.csv (+4),2026R1.3-b4572,"y8.0/z8.8 box, 20nm/4001pts, dx50 conformal, ASL 1e-7"
itai_te,qc_rate,0.028079,5,itai_hh_summary.csv (+4),2026R1.3-b4572,"y8.0/z8.8 box, 20nm/4001pts, dx50 conformal, ASL 1e-7"
itai_te,qc_lnQ0,5.41657,5,itai_hh_summary.csv (+4),2026R1.3-b4572,"y8.0/z8.8 box, 20nm/4001pts, dx50 conformal, ASL 1e-7"
itai_te,qi_p,2.92335,5,itai_hh_summary.csv (+4),2026R1.3-b4572,"y8.0/z8.8 box, 20nm/4001pts, dx50 conformal, ASL 1e-7"
itai_te,qi_lnA,0.490343,5,itai_hh_summary.csv (+4),2026R1.3-b4572,"y8.0/z8.8 box, 20nm/4001pts, dx50 conformal, ASL 1e-7"
itai_te,qi_sat,716900,5,itai_hh_summary.csv (+4),2026R1.3-b4572,"y8.0/z8.8 box, 20nm/4001pts, dx50 conformal, ASL 1e-7"
itai_te,n_lo,98,5,itai_hh_summary.csv (+4),2026R1.3-b4572,"y8.0/z8.8 box, 20nm/4001pts, dx50 conformal, ASL 1e-7"
itai_te,n_hi,195,5,itai_hh_summary.csv (+4),2026R1.3-b4572,"y8.0/z8.8 box, 20nm/4001pts, dx50 conformal, ASL 1e-7"
itai_te,lam_nm,nan,5,itai_hh_summary.csv (+4),2026R1.3-b4572,"y8.0/z8.8 box, 20nm/4001pts, dx50 conformal, ASL 1e-7"
itai_te,w_Finf,19.8728,5,itai_hh_summary.csv (+4),2026R1.3-b4572,"y8.0/z8.8 box, 20nm/4001pts, dx50 conformal, ASL 1e-7"
itai_te,w_B,2.75776,5,itai_hh_summary.csv (+4),2026R1.3-b4572,"y8.0/z8.8 box, 20nm/4001pts, dx50 conformal, ASL 1e-7"
itai_te,w_c,0.0275811,5,itai_hh_summary.csv (+4),2026R1.3-b4572,"y8.0/z8.8 box, 20nm/4001pts, dx50 conformal, ASL 1e-7"
